raw,normalised,canonical,method,score
Regus Business Centre,REGUS,REGUS,fuzzy,100.0
ABC Property Mgmt,ABC PROPERTY,ABC PROPERTY,fuzzy,100.0
SPACES,SPACES,SPACES,fuzzy,100.0
Westminster Lettings,WESTMINSTER LETTINGS,WESTMINSTER LETTINGS,fuzzy,100.0
WeWork,WEWORK,WEWORK,fuzzy,100.0
City Centre Offices Ltd,CITY,CITY,fuzzy,100.0
DigitalOcean,DIGITALOCEAN,DIGITALOCEAN,fuzzy,100.0
Digital Ocean LLC,DIGITAL OCEAN LLC,DIGITALOCEAN,manual,100.0
DIGITALOCEAN.COM,DIGITALOCEANCOM,DIGITALOCEAN,manual,100.0
ScottishPower,SCOTTISHPOWER,SCOTTISHPOWER,fuzzy,100.0
British Gas,BRITISH GAS,BRITISH GAS,fuzzy,100.0
SSE Business Energy,SSE ENERGY,SSE ENERGY,fuzzy,100.0
E.ON UK,EON,EON,fuzzy,100.0
EDF Energy,EDF ENERGY,EDF ENERGY,fuzzy,100.0
British Gas Business,BRITISH GAS,BRITISH GAS,fuzzy,100.0
Thames Water,THAMES WATER,THAMES WATER,fuzzy,100.0
Zurich Insurance,ZURICH INSURANCE,ZURICH INSURANCE,fuzzy,100.0
Aviva,AVIVA,AVIVA,fuzzy,100.0
Hiscox,HISCOX,HISCOX,fuzzy,100.0
AXA Insurance,AXA INSURANCE,AXA INSURANCE,fuzzy,100.0
Allianz UK,ALLIANZ,ALLIANZ,fuzzy,100.0
Direct Line,DIRECT LINE,DIRECT LINE,fuzzy,100.0
Tesco,TESCO,TESCO,fuzzy,100.0
TESCO RETAIL,TESCO,TESCO,fuzzy,100.0
Tesco Metro #4412,TESCO,TESCO,fuzzy,100.0
TESCO STORES LTD,TESCO STORES,TESCO,manual,100.0
Tesco Express,TESCO,TESCO,fuzzy,100.0
Tesco PLC,TESCO,TESCO,fuzzy,100.0
Just Eat,JUST EAT,CATERING,manual,100.0
Stripe,STRIPE,STRIPE,fuzzy,100.0
GoCardless,GOCARDLESS,GOCARDLESS,fuzzy,100.0
GoCardless Payment,GOCARDLESS,GOCARDLESS,fuzzy,100.0
Uber Eats,UBER EATS,UBER,manual,100.0
DELIVEROO,DELIVEROO,DELIVEROO,fuzzy,100.0
JUST EAT TAKEAWAY,JUST EAT TAKEAWAY,CATERING,manual,100.0
GOCARDLESS LTD,GOCARDLESS,GOCARDLESS,fuzzy,100.0
Stripe Technology Europe Ltd,STRIPE TECHNOLOGY EUROPE,STRIPE,manual,100.0
Deliveroo,DELIVEROO,DELIVEROO,fuzzy,100.0
STRIPE PAYMENTS,STRIPE,STRIPE,fuzzy,100.0
Slack Technologies Ltd,SLACK,SLACK,fuzzy,100.0
AWS EMEA,AWS EMEA,AMAZON WEB SERVICES,manual,100.0
Slack Subscription,SLACK,SLACK,fuzzy,100.0
QB Online,QB,QUICKBOOKS,manual,100.0
XERO SOFTWARE,XERO SOFTWARE,XERO,manual,100.0
SLACK TECHNOLOGIES,SLACK,SLACK,fuzzy,100.0
Xero Monthly,XERO,XERO,fuzzy,100.0
AWS,AWS,AMAZON WEB SERVICES,manual,100.0
Amazon Web Services,AMAZON WEB,AMAZON WEB,fuzzy,100.0
Xero Ltd,XERO,XERO,fuzzy,100.0
AMAZON WEB SERV,AMAZON WEB SERV,AMAZON WEB SERVICES,manual,100.0
QuickBooks Subscription,QUICKBOOKS,QUICKBOOKS,fuzzy,100.0
Xero,XERO,XERO,fuzzy,100.0
INTUIT QUICKBOOKS,INTUIT QUICKBOOKS,QUICKBOOKS,manual,100.0
QuickBooks,QUICKBOOKS,QUICKBOOKS,fuzzy,100.0
J Sainsbury PLC,J SAINSBURY,J SAINSBURY,fuzzy,100.0
Slack,SLACK,SLACK,fuzzy,100.0
SAINSBURYS LTD,SAINSBURYS,SAINSBURYS,fuzzy,100.0
Sainsburys Supermarket,SAINSBURYS,SAINSBURYS,fuzzy,100.0
Sainsbury's,SAINSBURYS,SAINSBURYS,fuzzy,100.0
Sainsburys Local,SAINSBURYS,SAINSBURYS,fuzzy,100.0
WHSmith,WHSMITH,STATIONERY,manual,100.0
Ryman,RYMAN,STATIONERY,manual,100.0
Viking Direct,VIKING DIRECT,STATIONERY,manual,100.0
Office Depot,OFFICE DEPOT,STATIONERY,manual,100.0
Shell UK Ltd,SHELL,SHELL,fuzzy,100.0
BP,BP,BP,fuzzy,100.0
BP Station 8821,BP,BP,fuzzy,100.0
Shell,SHELL,SHELL,fuzzy,100.0
BP RETAIL LTD,BP,BP,fuzzy,100.0
BP Connect,BP CONNECT,BP,manual,100.0
BP OIL UK,BP OIL,BP,manual,100.0
SHELL PETROL,SHELL PETROL,SHELL,manual,100.0
