company_id,company_name,company_number,incorporation_date,company_status,company_type,registered_office_postcode,sic_code,accounts_next_due,confirmation_statement_next_due,filing_frequency,number_of_officers,number_of_shareholders,share_capital,mortgages_count,charges_count
SME-00001,Company 1,97222657,2013-01-07,Active,Private limited company,09D2 1CE,86900,2024-04-29,2024-09-21,Annual,3,3,2655.19,0,2
SME-00002,Company 2,48944037,2019-10-03,Active,Private limited company,50B2 9DD,41100,2024-11-27,2024-05-13,Annual,1,2,3634.38,0,1
SME-00003,Company 3,80344893,2019-07-05,Active,Limited liability partnership,88A8 8BD,69201,2024-04-23,2024-01-22,Annual,1,6,413.03,0,1
SME-00004,Company 4,28043243,2014-07-01,Active,Private limited company,68D7 2BC,69201,2024-04-08,2024-07-17,Annual,2,2,8468.98,0,1
SME-00005,Company 5,10776523,2017-12-12,Active,Limited liability partnership,37E4 3EB,69201,2024-09-20,2024-08-14,Annual,1,4,1005.91,0,0
SME-00006,Company 6,74368928,2018-12-07,Active,Limited liability partnership,33B6 7EC,41100,2024-01-14,2024-11-17,Annual,1,1,121.9,0,0
SME-00007,Company 7,75191606,2015-12-23,Active,Limited liability partnership,89B3 7DA,41201,2024-11-10,2024-07-04,Annual,1,2,20.51,0,1
SME-00008,Company 8,79704138,2019-06-05,Active,Private limited company,47D3 8CC,62012,2024-09-04,2024-06-15,Annual,2,4,6938.71,0,0
SME-00009,Company 9,18632609,2019-08-04,Active,Limited liability partnership,65C8 6AD,41201,2024-10-21,2024-01-23,Annual,1,5,377.77,0,2
SME-00010,Company 10,74934881,2016-11-17,Active,Limited liability partnership,60A4 4EB,62012,2024-05-10,2024-06-24,Annual,1,2,1979.81,0,1
SME-00011,Company 11,23236467,2019-01-06,Active,Private limited company,85B9 3CD,47110,2024-08-10,2024-04-23,Annual,2,6,5200.61,0,0
SME-00012,Company 12,42650153,2016-01-22,Active,Limited liability partnership,42E3 2BA,86900,2024-02-21,2024-02-10,Annual,1,2,1313.39,2,0
SME-00013,Company 13,20474271,2018-08-09,Active,Limited liability partnership,90C9 2CD,62012,2024-04-25,2024-02-12,Annual,1,5,3064.19,0,1
SME-00014,Company 14,80608537,2019-05-06,Active,Private limited company,61B9 1BA,69201,2024-06-09,2024-05-11,Annual,3,4,626.76,0,0
SME-00015,Company 15,75703474,2010-11-19,Active,Private limited company,76E3 8BD,86900,2024-07-09,2024-07-21,Annual,3,2,4270.18,0,0
SME-00016,Company 16,74610429,2019-05-06,Active,Limited liability partnership,13C7 2DB,41201,2024-07-19,2024-04-23,Annual,1,1,27832.3,0,0
SME-00017,Company 17,41365184,2017-12-12,Active,Limited liability partnership,49D6 4BD,69201,2024-07-16,2024-07-23,Annual,1,2,932.63,0,0
SME-00018,Company 18,28618670,2019-08-04,Active,Limited liability partnership,78A2 5AB,47110,2024-10-17,2024-06-19,Annual,1,4,24356.27,2,0
SME-00019,Company 19,11171393,2011-11-14,Active,Limited liability partnership,30E9 6CB,41201,2024-12-09,2024-05-08,Annual,1,2,7778.35,0,1
SME-00020,Company 20,68872170,2003-11-26,Active,Private limited company,47D1 1BC,47110,2024-12-23,2024-03-03,Annual,1,1,921.39,0,0
SME-00021,Company 21,80759691,2018-08-09,Active,Private limited company,80B9 3CC,62012,2024-06-29,2024-06-12,Annual,1,1,202.35,0,0
SME-00022,Company 22,50730230,2015-03-28,Active,Private limited company,54A3 5BA,69201,2024-01-07,2024-05-26,Annual,2,4,1807.4,0,0
SME-00023,Company 23,39523898,2017-12-12,Active,Limited liability partnership,93D3 1DE,69201,2024-03-04,2024-06-28,Annual,2,1,11622.47,0,0
SME-00024,Company 24,26210653,2018-09-08,Active,Private limited company,31E5 8EB,69201,2024-08-05,2024-06-10,Annual,1,1,35448.72,0,0
SME-00025,Company 25,23120933,2013-09-04,Active,Private limited company,99E2 2CA,41100,2024-03-31,2024-04-29,Annual,1,4,5810.42,0,0
SME-00026,Company 26,25873494,2017-02-15,Active,Private limited company,84E3 9AC,41201,2024-12-28,2024-12-07,Annual,2,1,771.37,0,3
SME-00027,Company 27,88707239,2011-08-16,Active,Limited liability partnership,88A7 7BB,41201,2024-09-07,2024-08-18,Annual,1,1,17985.93,0,1
SME-00028,Company 28,52423120,2019-07-05,Active,Limited liability partnership,89A7 2BC,62012,2024-05-10,2024-07-26,Annual,1,4,14296.09,0,0
SME-00029,Company 29,30397794,2018-09-08,Active,Limited liability partnership,50C4 2EA,47110,2024-06-27,2024-07-16,Annual,2,5,1179.9,0,0
SME-00030,Company 30,30056087,2013-11-03,Active,Private limited company,30C9 7DC,41201,2024-05-02,2024-02-05,Annual,1,5,68714.36,0,0
SME-00031,Company 31,23938290,2017-09-13,Active,Private limited company,82A4 2CE,69201,2024-04-21,2024-10-10,Annual,1,6,3756.28,1,0
SME-00032,Company 32,24621352,2017-05-16,Active,Private limited company,32E5 3EE,86900,2024-09-11,2024-10-16,Annual,4,2,2004.72,2,0
SME-00033,Company 33,23629373,2016-02-21,Active,Private limited company,72A7 4AE,41201,2024-01-24,2024-02-27,Annual,1,4,2232.53,0,0
SME-00034,Company 34,17118677,2011-03-19,Active,Limited liability partnership,63D8 1DA,41100,2024-01-26,2024-12-22,Annual,1,3,399.51,0,2
SME-00035,Company 35,21492158,2018-03-12,Active,Private limited company,76D9 8DD,69201,2024-11-22,2024-07-25,Annual,2,6,18267.96,0,0
SME-00036,Company 36,41146358,2019-04-06,Active,Private limited company,96E3 5CB,86900,2024-07-18,2024-03-21,Annual,1,3,5651.86,0,1
SME-00037,Company 37,27754154,2014-11-28,Active,Limited liability partnership,88A5 6BA,47110,2024-06-01,2024-11-16,Annual,3,1,1137.19,0,0
SME-00038,Company 38,31541454,2019-08-04,Active,Limited liability partnership,60A2 3CA,86900,2024-11-22,2024-07-21,Annual,5,2,7895.51,0,1
SME-00039,Company 39,14621208,2019-08-04,Active,Private limited company,83A4 6CD,41100,2024-10-15,2024-11-07,Annual,3,1,2127.87,0,3
SME-00040,Company 40,63040013,2019-06-05,Active,Limited liability partnership,79E5 1CA,47110,2024-09-26,2024-10-27,Annual,1,2,2658.25,0,1
SME-00041,Company 41,64770896,2019-01-06,Active,Private limited company,28A1 4EC,86900,2024-08-30,2024-04-10,Annual,1,1,320.82,0,2
SME-00042,Company 42,81623242,2019-11-02,Active,Limited liability partnership,69A8 8EE,41201,2024-10-03,2024-07-30,Annual,2,5,2109.04,0,0
SME-00043,Company 43,60160013,2015-11-23,Active,Limited liability partnership,62D7 2EC,69201,2024-06-06,2024-02-23,Annual,3,2,391.81,0,1
SME-00044,Company 44,19166804,2017-09-13,Active,Private limited company,68D3 3AA,41100,2024-12-16,2024-04-14,Annual,1,3,858.89,0,0
SME-00045,Company 45,94942935,2019-08-04,Active,Limited liability partnership,51B7 3CB,86900,2024-02-11,2024-10-15,Annual,3,1,11762.43,0,0
SME-00046,Company 46,64915642,2016-07-20,Active,Private limited company,85C7 3CC,41100,2024-02-22,2024-04-12,Annual,1,1,1867.66,0,0
SME-00047,Company 47,13339781,2017-02-15,Active,Private limited company,76D1 3AD,41201,2024-05-06,2024-11-26,Annual,5,5,45319.36,0,0
SME-00048,Company 48,13595353,2010-10-20,Active,Limited liability partnership,95D6 1DD,41100,2024-07-19,2024-01-19,Annual,1,1,562.2,0,0
SME-00049,Company 49,30526326,2019-06-05,Active,Private limited company,17E4 6CD,41201,2024-06-20,2024-06-27,Annual,2,4,3029.97,1,3
SME-00050,Company 50,45122245,2017-10-13,Active,Limited liability partnership,05A5 6AA,47110,2024-11-01,2024-05-22,Annual,1,2,1955.86,0,0
SME-00051,Company 51,93372774,2016-04-21,Active,Private limited company,73D9 8CC,86900,2024-01-21,2024-07-06,Annual,2,6,9250.81,0,1
SME-00052,Company 52,32098082,2019-08-04,Active,Private limited company,72A5 6DC,62012,2024-11-28,2024-05-22,Annual,1,5,239.47,0,1
SME-00053,Company 53,13210181,2019-08-04,Active,Private limited company,81D6 3DB,62012,2024-06-08,2024-01-12,Annual,2,5,12746.49,0,1
SME-00054,Company 54,11016125,2019-06-05,Active,Limited liability partnership,55C7 4AD,62012,2024-09-12,2024-05-01,Annual,2,3,14861.13,0,0
SME-00055,Company 55,83861209,2013-07-06,Active,Private limited company,14B6 9AD,69201,2024-06-15,2024-01-13,Annual,1,4,42793.66,0,1
SME-00056,Company 56,82420213,2016-10-18,Active,Private limited company,13A5 6AD,86900,2024-08-13,2024-03-19,Annual,5,1,1235.62,0,0
SME-00057,Company 57,17403318,2015-12-23,Active,Private limited company,96C3 4AB,69201,2024-01-28,2024-11-09,Annual,1,4,6225.31,0,0
SME-00058,Company 58,15425366,2019-03-07,Active,Limited liability partnership,05E7 3DE,69201,2024-06-22,2024-03-03,Annual,4,5,17323.31,1,0
SME-00059,Company 59,48366962,2016-11-17,Active,Private limited company,62A7 9EA,69201,2024-03-24,2024-06-27,Annual,2,3,1212.22,0,0
SME-00060,Company 60,93788910,2013-07-06,Active,Private limited company,02E3 6EA,47110,2024-11-18,2024-06-08,Annual,1,2,1818.48,0,0
SME-00061,Company 61,82331033,2017-01-16,Active,Private limited company,96B3 8BA,41201,2024-11-21,2024-03-11,Annual,1,5,4157.59,0,0
SME-00062,Company 62,59134872,2013-06-06,Active,Limited liability partnership,82E5 1CB,41201,2024-05-11,2024-04-29,Annual,1,3,6573.76,0,0
SME-00063,Company 63,19521317,2016-06-20,Active,Limited liability partnership,81D1 2AB,41100,2024-12-26,2024-07-30,Annual,1,3,3667.67,0,0
SME-00064,Company 64,48059816,2018-07-10,Active,Limited liability partnership,07D1 1BE,69201,2024-10-29,2024-07-08,Annual,1,3,808.74,0,2
SME-00065,Company 65,52130917,2019-05-06,Active,Private limited company,38E6 5CD,41100,2024-10-12,2024-11-03,Annual,2,2,1201.42,0,0
SME-00066,Company 66,39199595,2019-06-05,Active,Private limited company,54B4 6CD,41100,2024-06-20,2024-08-24,Annual,5,3,1123.3,0,0
SME-00067,Company 67,24978993,2019-10-03,Active,Limited liability partnership,69C9 5AA,41100,2024-01-08,2024-09-13,Annual,2,2,69471.75,0,0
SME-00068,Company 68,62746904,2018-11-07,Active,Limited liability partnership,78D4 6EC,41100,2024-08-26,2024-03-16,Annual,2,2,2772.31,0,0
SME-00069,Company 69,89583746,2017-02-15,Active,Private limited company,92A3 4CC,62012,2024-02-15,2024-11-13,Annual,1,6,2056.61,0,0
SME-00070,Company 70,32137100,2019-10-03,Active,Limited liability partnership,55D6 6DB,41100,2024-09-19,2024-02-19,Annual,2,4,4382.97,1,1
SME-00071,Company 71,58299703,2017-11-12,Active,Private limited company,53B9 5ED,47110,2024-06-19,2024-09-21,Annual,1,2,3924.09,0,1
SME-00072,Company 72,22674180,2018-09-08,Active,Private limited company,27D3 3CE,41201,2024-04-08,2024-08-10,Annual,2,5,730.73,0,1
SME-00073,Company 73,12398365,2019-09-03,Active,Private limited company,56B5 2DB,86900,2024-02-02,2024-10-30,Annual,3,5,17781.11,0,0
SME-00074,Company 74,63643815,2013-06-06,Active,Private limited company,42B7 2BD,41100,2024-12-22,2024-07-30,Annual,3,4,7594.63,0,0
SME-00075,Company 75,79336924,2013-11-03,Active,Limited liability partnership,45D4 3DD,47110,2024-10-01,2024-12-27,Annual,2,5,819.08,0,1
SME-00076,Company 76,89561553,2014-09-29,Active,Limited liability partnership,67B7 5CA,41201,2024-10-06,2024-03-15,Annual,3,2,2169.48,0,1
SME-00077,Company 77,48843929,2018-03-12,Active,Limited liability partnership,65A5 5EB,69201,2024-05-24,2024-10-27,Annual,1,5,1042.96,0,0
SME-00078,Company 78,35632759,2016-06-20,Active,Limited liability partnership,91A3 2BE,69201,2024-06-04,2024-01-31,Annual,3,2,2327.1,0,0
SME-00079,Company 79,69450729,2017-02-15,Active,Private limited company,99C7 5AA,62012,2024-06-18,2024-02-10,Annual,5,1,7613.09,1,1
SME-00080,Company 80,48683334,2017-08-14,Active,Private limited company,41D8 7DA,86900,2024-09-17,2024-11-02,Annual,1,3,62813.58,1,0
SME-00081,Company 81,91669481,2018-03-12,Active,Private limited company,33C5 7DE,69201,2024-06-28,2024-05-17,Annual,3,3,541.7,1,0
SME-00082,Company 82,99054905,2016-02-21,Active,Limited liability partnership,39B6 5EC,41201,2024-03-19,2024-07-18,Annual,2,5,561.28,0,1
SME-00083,Company 83,89006875,2012-04-12,Active,Limited liability partnership,39A1 4BA,47110,2024-07-27,2024-05-22,Annual,3,2,912.45,0,1
SME-00084,Company 84,23609246,2017-09-13,Active,Private limited company,15C6 1CB,41201,2024-07-02,2024-02-24,Annual,2,4,4235.86,1,0
SME-00085,Company 85,58248608,2015-07-26,Active,Private limited company,88C9 7DE,41100,2024-05-23,2024-07-05,Annual,3,6,1096.04,0,0
SME-00086,Company 86,45333032,2018-05-11,Active,Limited liability partnership,08A5 7EC,86900,2024-06-13,2024-04-13,Annual,1,3,10151.23,0,0
SME-00087,Company 87,88092385,2018-07-10,Active,Private limited company,16B8 7ED,41100,2024-08-10,2024-10-28,Annual,1,6,1666.25,0,0
SME-00088,Company 88,27207738,2019-12-02,Active,Private limited company,96C8 9EC,47110,2024-01-18,2024-09-09,Annual,4,2,1213.26,0,1
SME-00089,Company 89,29064796,2018-02-10,Active,Limited liability partnership,22C5 8BE,41100,2024-07-11,2024-02-18,Annual,4,6,1647.07,1,0
SME-00090,Company 90,57756980,2014-09-29,Active,Private limited company,37A9 7DD,86900,2024-01-02,2024-04-22,Annual,3,3,2520.36,0,0
SME-00091,Company 91,30021839,2018-05-11,Active,Limited liability partnership,38A9 3AD,41100,2024-05-01,2024-01-20,Annual,2,4,4007.61,0,0
SME-00092,Company 92,99274612,2016-11-17,Active,Private limited company,53A7 4DE,62012,2024-04-20,2024-09-09,Annual,1,3,345.65,1,0
SME-00093,Company 93,91375325,2015-10-24,Active,Private limited company,78E9 3DC,86900,2024-07-15,2024-09-20,Annual,1,2,17049.53,0,0
SME-00094,Company 94,49769885,2015-10-24,Active,Limited liability partnership,68A7 4CD,62012,2024-08-03,2024-09-21,Annual,1,2,9602.77,1,1
SME-00095,Company 95,91344489,2012-05-12,Active,Limited liability partnership,53A2 6AE,41201,2024-03-17,2024-02-05,Annual,2,5,1095.77,0,0
SME-00096,Company 96,89753584,2018-10-08,Active,Private limited company,22C4 2AB,62012,2024-12-09,2024-05-05,Annual,1,4,60913.73,0,1
SME-00097,Company 97,52234937,2019-10-03,Active,Private limited company,96D8 4CC,47110,2024-12-27,2024-07-20,Annual,4,4,1196.47,1,2
SME-00098,Company 98,42758188,2015-09-24,Active,Limited liability partnership,35E4 3CB,62012,2024-09-26,2024-01-24,Annual,1,3,4138.05,1,1
SME-00099,Company 99,73361331,2016-05-21,Active,Private limited company,62D1 3EB,41201,2024-12-20,2024-11-01,Annual,2,3,1226.01,0,0
SME-00100,Company 100,79689986,2016-09-18,Active,Private limited company,07C3 8CD,69201,2024-04-27,2024-01-01,Annual,2,3,7428.87,1,1
SME-00101,Company 101,81032516,2017-09-13,Active,Private limited company,27D5 2AC,41201,2024-12-01,2024-10-02,Annual,1,2,5065.66,0,0
SME-00102,Company 102,38994549,2009-07-27,Active,Private limited company,93C2 1EE,41201,2024-03-19,2024-05-13,Annual,1,5,2898.83,1,1
SME-00103,Company 103,19828306,2015-06-26,Active,Private limited company,98C3 5DB,86900,2024-10-21,2024-10-28,Annual,1,1,4497.23,0,0
SME-00104,Company 104,11271064,2019-04-06,Active,Private limited company,89D5 2EB,69201,2024-05-16,2024-10-08,Annual,1,5,428.82,0,0
SME-00105,Company 105,70433699,2019-12-02,Active,Limited liability partnership,42E2 1AC,41201,2024-02-07,2024-11-17,Annual,4,1,21254.2,1,0
SME-00106,Company 106,58438422,2017-08-14,Active,Private limited company,47E5 3BB,86900,2024-02-11,2024-10-16,Annual,1,1,15150.78,0,2
SME-00107,Company 107,63372558,2018-04-11,Active,Private limited company,74B3 9CA,41201,2024-08-27,2024-10-25,Annual,2,2,2866.81,1,2
SME-00108,Company 108,62220868,2019-07-05,Active,Private limited company,32A1 9AA,62012,2024-05-31,2024-06-03,Annual,3,5,5774.92,0,0
SME-00109,Company 109,59994067,2019-06-05,Active,Limited liability partnership,48B1 6BC,47110,2024-09-28,2024-10-26,Annual,4,2,11926.19,1,2
SME-00110,Company 110,52644187,2019-05-06,Active,Limited liability partnership,46A9 7EE,41100,2024-02-03,2024-02-06,Annual,1,1,1377.68,0,0
SME-00111,Company 111,71893677,2013-11-03,Active,Limited liability partnership,91E1 4DE,47110,2024-02-25,2024-05-28,Annual,3,1,8514.3,0,0
SME-00112,Company 112,25301201,2016-12-17,Active,Private limited company,52C6 3EA,41100,2024-01-22,2024-05-16,Annual,2,2,8926.36,1,0
SME-00113,Company 113,24423003,2019-12-02,Active,Private limited company,66D8 7BD,47110,2024-06-10,2024-01-29,Annual,2,5,4079.55,1,1
SME-00114,Company 114,99023850,2016-07-20,Active,Private limited company,77A7 7AA,47110,2024-02-22,2024-07-18,Annual,5,6,17386.4,0,1
SME-00115,Company 115,21171269,2019-12-02,Active,Limited liability partnership,55E6 6BA,69201,2024-01-02,2024-05-15,Annual,3,2,11543.58,1,1
SME-00116,Company 116,60470823,2016-07-20,Active,Private limited company,19B7 1CC,47110,2024-08-25,2024-11-21,Annual,2,3,691.65,0,0
SME-00117,Company 117,53116902,2017-09-13,Active,Limited liability partnership,06C2 3EE,69201,2024-11-18,2024-02-15,Annual,3,3,31580.81,0,1
SME-00118,Company 118,70303424,2009-04-28,Active,Private limited company,75D5 7DC,86900,2024-06-18,2024-03-20,Annual,1,4,641.86,0,0
SME-00119,Company 119,99420436,2015-03-28,Active,Private limited company,94A1 8BC,41100,2024-07-29,2024-11-14,Annual,3,1,2507.38,0,1
SME-00120,Company 120,24533546,2016-08-19,Active,Private limited company,16D5 2BE,86900,2024-12-26,2024-03-11,Annual,1,1,4230.36,0,0
SME-00121,Company 121,30179671,1997-11-27,Active,Private limited company,25B4 5ED,86900,2024-10-18,2024-02-23,Annual,5,3,504.31,1,2
SME-00122,Company 122,52549071,2016-08-19,Active,Limited liability partnership,65D5 8EC,86900,2024-04-09,2024-07-10,Annual,2,4,2794.57,1,0
SME-00123,Company 123,93750071,2018-05-11,Active,Limited liability partnership,50A1 2CD,69201,2024-10-05,2024-04-11,Annual,4,3,2029.12,0,0
SME-00124,Company 124,19704382,2019-06-05,Active,Private limited company,93E6 4DB,41100,2024-03-14,2024-02-29,Annual,1,3,11808.26,0,1
SME-00125,Company 125,61126958,2017-12-12,Active,Limited liability partnership,58E5 5AA,41100,2024-07-25,2024-01-16,Annual,3,2,1311.35,1,1
SME-00126,Company 126,14734209,2019-05-06,Active,Private limited company,31D1 4AE,62012,2024-09-23,2024-01-23,Annual,3,2,432.54,0,0
SME-00127,Company 127,88054194,2008-02-03,Active,Private limited company,35B5 2EA,62012,2024-03-15,2024-09-17,Annual,2,2,10978.91,0,0
SME-00128,Company 128,69180756,2017-02-15,Active,Limited liability partnership,01C1 9BD,86900,2024-11-30,2024-08-07,Annual,1,4,76076.13,0,0
SME-00129,Company 129,63472797,2017-03-17,Active,Limited liability partnership,31D3 8DE,62012,2024-12-04,2024-09-13,Annual,4,4,2907.97,0,1
SME-00130,Company 130,41850825,2017-08-14,Active,Limited liability partnership,41A9 3BC,41201,2024-11-30,2024-11-18,Annual,4,4,1209.38,0,0
SME-00131,Company 131,57541858,2015-12-23,Active,Private limited company,52A1 3CA,47110,2024-10-27,2024-10-06,Annual,1,3,1647.88,0,0
SME-00132,Company 132,75793921,2011-07-17,Active,Private limited company,84B8 4AD,86900,2024-01-31,2024-11-06,Annual,3,4,2777.69,2,0
SME-00133,Company 133,27571364,2016-01-22,Active,Private limited company,24E7 1BB,86900,2024-05-21,2024-10-28,Annual,1,5,2591.38,0,0
SME-00134,Company 134,43194220,2017-10-13,Active,Private limited company,19B8 7AE,47110,2024-06-17,2024-06-11,Annual,1,2,1900.69,0,0
SME-00135,Company 135,68783523,2017-10-13,Active,Limited liability partnership,30A1 9AE,69201,2024-05-16,2024-08-08,Annual,1,5,4116.31,0,0
SME-00136,Company 136,91662653,2019-04-06,Active,Limited liability partnership,39C8 4BA,62012,2024-03-19,2024-06-22,Annual,2,9,1801.57,0,0
SME-00137,Company 137,55819368,2015-09-24,Active,Limited liability partnership,15A4 5EB,69201,2024-11-30,2024-03-25,Annual,1,2,2327.8,0,1
SME-00138,Company 138,10158069,2019-01-06,Active,Limited liability partnership,01B9 6AC,41100,2024-02-21,2024-09-28,Annual,3,5,1583.37,0,0
SME-00139,Company 139,61224949,2019-12-02,Active,Private limited company,15E8 7BC,86900,2024-05-21,2024-01-22,Annual,2,5,369.68,0,0
SME-00140,Company 140,62087873,2018-06-10,Active,Limited liability partnership,93B1 8DD,62012,2024-11-27,2024-10-31,Annual,4,3,7050.39,0,0
SME-00141,Company 141,15567954,2017-10-13,Active,Limited liability partnership,53C3 6DA,41201,2024-03-31,2024-07-08,Annual,3,2,238.34,0,0
SME-00142,Company 142,50473757,2019-11-02,Active,Limited liability partnership,79A4 2DD,47110,2024-10-19,2024-12-04,Annual,1,3,986.79,1,0
SME-00143,Company 143,24669384,2018-07-10,Active,Private limited company,72C3 6DC,41201,2024-11-28,2024-03-25,Annual,2,4,3430.05,0,0
SME-00144,Company 144,62002781,2017-05-16,Active,Limited liability partnership,09D9 8CA,62012,2024-11-22,2024-07-07,Annual,1,3,169.97,0,0
SME-00145,Company 145,88020687,2018-11-07,Active,Private limited company,45C7 6AB,69201,2024-02-03,2024-01-11,Annual,3,1,586.4,0,0
SME-00146,Company 146,95882377,2015-11-23,Active,Private limited company,89C2 7CC,41100,2024-07-06,2024-01-18,Annual,1,2,130.79,0,0
SME-00147,Company 147,87549681,2018-11-07,Active,Limited liability partnership,69C5 4BA,41100,2024-06-22,2024-01-12,Annual,3,2,3488.0,0,0
SME-00148,Company 148,65409283,2017-02-15,Active,Limited liability partnership,31A8 3EA,86900,2024-06-30,2024-09-09,Annual,3,4,975.77,1,2
SME-00149,Company 149,51113064,2018-12-07,Active,Private limited company,18A8 3DA,62012,2024-03-12,2024-10-23,Annual,1,3,1311.94,1,0
SME-00150,Company 150,46927230,2015-02-26,Active,Limited liability partnership,96C5 7DE,86900,2024-09-06,2024-10-07,Annual,4,1,783.1,0,1
SME-00151,Company 151,33447635,2015-09-24,Active,Private limited company,72E5 4CD,62012,2024-08-05,2024-05-17,Annual,1,4,4629.04,0,0
SME-00152,Company 152,91250272,2013-10-04,Active,Limited liability partnership,36C2 9EE,62012,2024-04-19,2024-09-07,Annual,2,3,14617.32,1,0
SME-00153,Company 153,96192004,2019-10-03,Active,Private limited company,81B8 3CE,47110,2024-03-20,2024-04-14,Annual,1,1,620.38,0,2
SME-00154,Company 154,54345125,2017-03-17,Active,Private limited company,99D3 7AC,62012,2024-04-12,2024-11-08,Annual,1,1,956.42,1,1
SME-00155,Company 155,43060236,2014-07-31,Active,Private limited company,31B5 6BC,86900,2024-05-19,2024-05-22,Annual,2,2,36614.76,1,0
SME-00156,Company 156,57849304,2017-03-17,Active,Limited liability partnership,37A1 4CD,69201,2024-08-28,2024-10-23,Annual,1,4,17609.72,0,2
SME-00157,Company 157,47434652,2016-11-17,Active,Limited liability partnership,12B5 9BA,86900,2024-09-09,2024-03-26,Annual,1,2,15541.89,1,0
SME-00158,Company 158,57866524,2017-08-14,Active,Limited liability partnership,29E6 1EA,41201,2024-11-04,2024-09-24,Annual,1,3,1219.66,0,0
SME-00159,Company 159,14317591,2012-02-12,Active,Private limited company,45A7 8CA,69201,2024-02-18,2024-12-09,Annual,1,1,2417.56,0,0
SME-00160,Company 160,19122879,2017-03-17,Active,Limited liability partnership,79D1 9AE,69201,2024-11-24,2024-08-28,Annual,2,1,60412.13,0,0
SME-00161,Company 161,90792106,2018-10-08,Active,Limited liability partnership,18C2 1BD,41100,2024-01-11,2024-12-10,Annual,3,2,3366.47,1,0
SME-00162,Company 162,98291195,2016-01-22,Active,Private limited company,93C4 3BD,47110,2024-10-23,2024-10-11,Annual,1,2,599.8,0,0
SME-00163,Company 163,23087247,2013-08-05,Active,Private limited company,57E9 1BA,41201,2024-12-06,2024-10-18,Annual,2,1,4549.04,1,0
SME-00164,Company 164,79275290,2019-12-02,Active,Private limited company,09C8 7AA,41100,2024-08-18,2024-12-11,Annual,2,2,4490.36,0,0
SME-00165,Company 165,33178075,2019-05-06,Active,Limited liability partnership,07E3 8CC,62012,2024-06-15,2024-10-04,Annual,1,4,2437.72,0,0
SME-00166,Company 166,20356988,2015-05-27,Active,Limited liability partnership,59B3 7BC,69201,2024-06-05,2024-04-24,Annual,1,1,2982.91,0,1
SME-00167,Company 167,79424184,2013-04-07,Active,Private limited company,62B6 7EA,41201,2024-03-05,2024-11-19,Annual,1,3,460.5,1,2
SME-00168,Company 168,31867303,2018-11-07,Active,Private limited company,07B7 9EA,47110,2024-11-21,2024-06-12,Annual,5,5,48130.69,0,0
SME-00169,Company 169,39726892,2017-12-12,Active,Limited liability partnership,95E9 8CA,69201,2024-09-30,2024-04-06,Annual,1,2,2777.38,0,0
SME-00170,Company 170,90067344,2016-10-18,Active,Limited liability partnership,01C7 5BE,41201,2024-02-12,2024-12-29,Annual,4,1,12115.65,1,0
SME-00171,Company 171,65900224,2019-06-05,Active,Limited liability partnership,37C6 3BC,41100,2024-03-18,2024-10-04,Annual,1,6,40097.2,0,0
SME-00172,Company 172,98417940,2018-09-08,Active,Limited liability partnership,75B2 5AB,86900,2024-08-25,2024-01-27,Annual,2,2,9487.83,0,0
SME-00173,Company 173,18299499,2019-10-03,Active,Private limited company,01B6 9DD,41201,2024-09-17,2024-01-10,Annual,3,4,4647.35,0,0
SME-00174,Company 174,80780395,2017-03-17,Active,Private limited company,84E5 1BB,41201,2024-01-06,2024-01-05,Annual,1,2,16423.89,0,0
SME-00175,Company 175,45744703,2014-10-29,Active,Private limited company,89A4 2AC,41100,2024-11-30,2024-07-03,Annual,1,2,1751.96,0,1
SME-00176,Company 176,32647101,2016-07-20,Active,Private limited company,35B3 1CB,47110,2024-10-03,2024-11-22,Annual,1,2,7465.52,0,0
SME-00177,Company 177,22288482,2019-03-07,Active,Private limited company,04E7 1DA,41100,2024-08-13,2024-01-09,Annual,3,3,2292.44,0,0
SME-00178,Company 178,32682766,2019-09-03,Active,Private limited company,96D1 8DC,69201,2024-10-20,2024-04-29,Annual,2,1,23137.28,0,1
SME-00179,Company 179,50389885,2015-11-23,Active,Private limited company,47E1 6EE,69201,2024-12-01,2024-04-14,Annual,2,1,2201.87,0,1
SME-00180,Company 180,19728615,2018-12-07,Active,Private limited company,80B8 6CA,47110,2024-01-29,2024-01-28,Annual,3,3,2333.13,0,0
SME-00181,Company 181,13376574,2019-05-06,Active,Limited liability partnership,04C6 4DC,69201,2024-08-21,2024-09-15,Annual,1,5,1388.99,0,0
