company_id,defaulted,default_date,application_date
SME-00001,0,,2022-01-01
SME-00002,0,,2022-01-01
SME-00003,0,,2022-01-01
SME-00004,0,,2022-01-01
SME-00005,0,,2022-01-01
SME-00006,1,2023-01-07,2022-01-01
SME-00007,0,,2022-01-01
SME-00008,0,,2022-01-01
SME-00009,0,,2022-01-01
SME-00010,0,,2022-01-01
SME-00011,0,,2022-01-01
SME-00012,0,,2022-01-01
SME-00013,0,,2022-01-01
SME-00014,0,,2022-01-01
SME-00015,0,,2022-01-01
SME-00016,0,,2022-01-01
SME-00017,0,,2022-01-01
SME-00018,0,,2022-01-01
SME-00019,0,,2022-01-01
SME-00020,0,,2022-01-01
SME-00021,0,,2022-01-01
SME-00022,0,,2022-01-01
SME-00023,1,2022-06-10,2022-01-01
SME-00024,0,,2022-01-01
SME-00025,0,,2022-01-01
SME-00026,1,2022-09-09,2022-01-01
SME-00027,1,2023-01-26,2022-01-01
SME-00028,0,,2022-01-01
SME-00029,0,,2022-01-01
SME-00030,0,,2022-01-01
SME-00031,0,,2022-01-01
SME-00032,1,2023-03-02,2022-01-01
SME-00033,0,,2022-01-01
SME-00034,1,2022-09-09,2022-01-01
SME-00035,0,,2022-01-01
SME-00036,0,,2022-01-01
SME-00037,0,,2022-01-01
SME-00038,0,,2022-01-01
SME-00039,0,,2022-01-01
SME-00040,0,,2022-01-01
SME-00041,0,,2022-01-01
SME-00042,0,,2022-01-01
SME-00043,0,,2022-01-01
SME-00044,0,,2022-01-01
SME-00045,0,,2022-01-01
SME-00046,0,,2022-01-01
SME-00047,0,,2022-01-01
SME-00048,1,2023-03-07,2022-01-01
SME-00049,0,,2022-01-01
SME-00050,0,,2022-01-01
SME-00051,0,,2022-01-01
SME-00052,0,,2022-01-01
SME-00053,0,,2022-01-01
SME-00054,0,,2022-01-01
SME-00055,0,,2022-01-01
SME-00056,0,,2022-01-01
SME-00057,0,,2022-01-01
SME-00058,0,,2022-01-01
SME-00059,0,,2022-01-01
SME-00060,0,,2022-01-01
SME-00061,0,,2022-01-01
SME-00062,0,,2022-01-01
SME-00063,0,,2022-01-01
SME-00064,1,2022-10-07,2022-01-01
SME-00065,0,,2022-01-01
SME-00066,0,,2022-01-01
SME-00067,1,2022-10-01,2022-01-01
SME-00068,0,,2022-01-01
SME-00069,1,2023-01-05,2022-01-01
SME-00070,0,,2022-01-01
SME-00071,0,,2022-01-01
SME-00072,0,,2022-01-01
SME-00073,1,2022-10-24,2022-01-01
SME-00074,0,,2022-01-01
SME-00075,0,,2022-01-01
SME-00076,0,,2022-01-01
SME-00077,0,,2022-01-01
SME-00078,0,,2022-01-01
SME-00079,0,,2022-01-01
SME-00080,0,,2022-01-01
SME-00081,1,2023-05-09,2022-01-01
SME-00082,0,,2022-01-01
SME-00083,0,,2022-01-01
SME-00084,0,,2022-01-01
SME-00085,0,,2022-01-01
SME-00086,0,,2022-01-01
SME-00087,1,2023-04-24,2022-01-01
SME-00088,0,,2022-01-01
SME-00089,0,,2022-01-01
SME-00090,0,,2022-01-01
SME-00091,0,,2022-01-01
SME-00092,0,,2022-01-01
SME-00093,0,,2022-01-01
SME-00094,0,,2022-01-01
SME-00095,0,,2022-01-01
SME-00096,1,2022-07-12,2022-01-01
SME-00097,0,,2022-01-01
SME-00098,1,2023-01-02,2022-01-01
SME-00099,0,,2022-01-01
SME-00100,0,,2022-01-01
SME-00101,0,,2022-01-01
SME-00102,1,2022-06-15,2022-01-01
SME-00103,0,,2022-01-01
SME-00104,0,,2022-01-01
SME-00105,0,,2022-01-01
SME-00106,1,2023-04-07,2022-01-01
SME-00107,0,,2022-01-01
SME-00108,0,,2022-01-01
SME-00109,0,,2022-01-01
SME-00110,1,2022-09-25,2022-01-01
SME-00111,0,,2022-01-01
SME-00112,0,,2022-01-01
SME-00113,0,,2022-01-01
SME-00114,0,,2022-01-01
SME-00115,0,,2022-01-01
SME-00116,0,,2022-01-01
SME-00117,0,,2022-01-01
SME-00118,0,,2022-01-01
SME-00119,0,,2022-01-01
SME-00120,0,,2022-01-01
SME-00121,0,,2022-01-01
SME-00122,0,,2022-01-01
SME-00123,0,,2022-01-01
SME-00124,0,,2022-01-01
SME-00125,0,,2022-01-01
SME-00126,0,,2022-01-01
SME-00127,1,2023-02-15,2022-01-01
SME-00128,0,,2022-01-01
SME-00129,0,,2022-01-01
SME-00130,0,,2022-01-01
SME-00131,0,,2022-01-01
SME-00132,0,,2022-01-01
SME-00133,1,2022-11-04,2022-01-01
SME-00134,0,,2022-01-01
SME-00135,0,,2022-01-01
SME-00136,0,,2022-01-01
SME-00137,0,,2022-01-01
SME-00138,0,,2022-01-01
SME-00139,0,,2022-01-01
SME-00140,0,,2022-01-01
SME-00141,0,,2022-01-01
SME-00142,0,,2022-01-01
SME-00143,1,2022-07-07,2022-01-01
SME-00144,0,,2022-01-01
SME-00145,0,,2022-01-01
