postcode_area,date,vacancy_rate
09,2022-01-01,0.2216
09,2022-02-01,0.233
09,2022-03-01,0.1943
09,2022-04-01,0.2151
09,2022-05-01,0.2683
09,2022-06-01,0.2447
09,2022-07-01,0.2476
09,2022-08-01,0.2875
09,2022-09-01,0.2795
09,2022-10-01,0.2205
09,2022-11-01,0.2672
09,2022-12-01,0.2268
09,2023-01-01,0.2358
09,2023-02-01,0.2566
09,2023-03-01,0.2068
09,2023-04-01,0.2354
09,2023-05-01,0.2697
09,2023-06-01,0.2749
50,2022-01-01,0.169
50,2022-02-01,0.1692
50,2022-03-01,0.1371
50,2022-04-01,0.1231
50,2022-05-01,0.1742
50,2022-06-01,0.1413
50,2022-07-01,0.177
50,2022-08-01,0.1235
50,2022-09-01,0.124
50,2022-10-01,0.1668
50,2022-11-01,0.1767
50,2022-12-01,0.174
50,2023-01-01,0.1651
50,2023-02-01,0.1735
50,2023-03-01,0.1776
50,2023-04-01,0.1698
50,2023-05-01,0.1777
50,2023-06-01,0.1706
88,2022-01-01,0.1746
88,2022-02-01,0.147
88,2022-03-01,0.162
88,2022-04-01,0.1638
88,2022-05-01,0.1639
88,2022-06-01,0.1727
88,2022-07-01,0.1732
88,2022-08-01,0.163
88,2022-09-01,0.2027
88,2022-10-01,0.1698
88,2022-11-01,0.2235
88,2022-12-01,0.2191
88,2023-01-01,0.2214
88,2023-02-01,0.1919
88,2023-03-01,0.1685
88,2023-04-01,0.2119
88,2023-05-01,0.2062
88,2023-06-01,0.2131
68,2022-01-01,0.2311
68,2022-02-01,0.2009
68,2022-03-01,0.272
68,2022-04-01,0.2411
68,2022-05-01,0.2496
68,2022-06-01,0.2427
68,2022-07-01,0.2665
68,2022-08-01,0.2506
68,2022-09-01,0.3017
68,2022-10-01,0.2697
68,2022-11-01,0.2702
68,2022-12-01,0.2864
68,2023-01-01,0.274
68,2023-02-01,0.2994
68,2023-03-01,0.3272
68,2023-04-01,0.2781
68,2023-05-01,0.2857
68,2023-06-01,0.2855
37,2022-01-01,0.042
37,2022-02-01,0.0539
37,2022-03-01,0.0792
37,2022-04-01,0.1139
37,2022-05-01,0.0558
37,2022-06-01,0.0748
37,2022-07-01,0.0989
37,2022-08-01,0.0638
37,2022-09-01,0.0486
37,2022-10-01,0.0962
37,2022-11-01,0.1184
37,2022-12-01,0.0655
37,2023-01-01,0.0801
37,2023-02-01,0.0658
37,2023-03-01,0.0708
37,2023-04-01,0.1068
37,2023-05-01,0.11
37,2023-06-01,0.1003
33,2022-01-01,0.0791
33,2022-02-01,0.0688
33,2022-03-01,0.1048
33,2022-04-01,0.0504
33,2022-05-01,0.0767
33,2022-06-01,0.1276
33,2022-07-01,0.1103
33,2022-08-01,0.0724
33,2022-09-01,0.0707
33,2022-10-01,0.1354
33,2022-11-01,0.0724
33,2022-12-01,0.0886
33,2023-01-01,0.0826
33,2023-02-01,0.0865
33,2023-03-01,0.0946
33,2023-04-01,0.1191
33,2023-05-01,0.113
33,2023-06-01,0.1137
89,2022-01-01,0.1421
89,2022-02-01,0.1115
89,2022-03-01,0.15
89,2022-04-01,0.1244
89,2022-05-01,0.1539
89,2022-06-01,0.1622
89,2022-07-01,0.1259
89,2022-08-01,0.1489
89,2022-09-01,0.1332
89,2022-10-01,0.1048
89,2022-11-01,0.1641
89,2022-12-01,0.1788
89,2023-01-01,0.1328
89,2023-02-01,0.1574
89,2023-03-01,0.1489
89,2023-04-01,0.1422
89,2023-05-01,0.1517
89,2023-06-01,0.16
47,2022-01-01,0.1121
47,2022-02-01,0.1587
47,2022-03-01,0.1408
47,2022-04-01,0.175
47,2022-05-01,0.1808
47,2022-06-01,0.1507
47,2022-07-01,0.2153
47,2022-08-01,0.125
47,2022-09-01,0.1724
47,2022-10-01,0.2069
47,2022-11-01,0.1865
47,2022-12-01,0.1984
47,2023-01-01,0.165
47,2023-02-01,0.1912
47,2023-03-01,0.219
47,2023-04-01,0.2231
47,2023-05-01,0.214
47,2023-06-01,0.2397
65,2022-01-01,0.1479
65,2022-02-01,0.1772
65,2022-03-01,0.1751
65,2022-04-01,0.1617
65,2022-05-01,0.1459
