company_id,company_name,industry,incorporation_date,company_age_months,postcode,loan_amount,num_employees,default_base_rate
SME-00001,Company 1,Construction,2013-01-07,85,09D2 1CE,54205.7,8,0.16
SME-00002,Company 2,Construction,2019-10-03,3,50B2 9DD,7913.67,18,0.16
SME-00003,Company 3,Professional Services,2019-07-05,6,88A8 8BD,34286.29,6,0.1
SME-00004,Company 4,Professional Services,2014-07-01,67,68D7 2BC,18298.32,9,0.1
SME-00005,Company 5,Technology,2017-12-12,25,37E4 3EB,287787.35,12,0.12
SME-00006,Company 6,Retail,2018-12-07,13,33B6 7EC,8037.01,11,0.18
SME-00007,Company 7,Construction,2015-12-23,49,89B3 7DA,25337.05,12,0.16
SME-00008,Company 8,Technology,2019-06-05,7,47D3 8CC,46983.22,4,0.12
SME-00009,Company 9,Technology,2019-08-04,5,65C8 6AD,7793.17,8,0.12
SME-00010,Company 10,Hospitality,2016-11-17,38,60A4 4EB,57069.02,6,0.22
SME-00011,Company 11,Healthcare,2019-01-06,12,85B9 3CD,7307.51,5,0.08
SME-00012,Company 12,Construction,2016-01-22,48,42E3 2BA,15195.95,5,0.16
SME-00013,Company 13,Construction,2018-08-09,17,90C9 2CD,12540.48,12,0.16
SME-00014,Company 14,Professional Services,2019-05-06,8,61B9 1BA,20017.02,3,0.1
SME-00015,Company 15,Healthcare,2010-11-19,111,76E3 8BD,13991.5,3,0.08
SME-00016,Company 16,Retail,2019-05-06,8,13C7 2DB,14664.14,8,0.18
SME-00017,Company 17,Retail,2017-12-12,25,49D6 4BD,24017.92,26,0.18
SME-00018,Company 18,Hospitality,2019-08-04,5,78A2 5AB,27313.35,9,0.22
SME-00019,Company 19,Technology,2011-11-14,99,30E9 6CB,10222.01,12,0.12
SME-00020,Company 20,Technology,2003-11-26,196,47D1 1BC,6511.37,76,0.12
SME-00021,Company 21,Healthcare,2018-08-09,17,80B9 3CC,1705.38,4,0.08
SME-00022,Company 22,Technology,2015-03-28,58,54A3 5BA,26594.46,5,0.12
SME-00023,Company 23,Retail,2017-12-12,25,93D3 1DE,183783.9,2,0.18
SME-00024,Company 24,Technology,2018-09-08,16,31E5 8EB,283272.24,15,0.12
SME-00025,Company 25,Retail,2013-09-04,77,99E2 2CA,20974.97,2,0.18
SME-00026,Company 26,Healthcare,2017-02-15,35,84E3 9AC,146518.87,21,0.08
SME-00027,Company 27,Construction,2011-08-16,102,88A7 7BB,83078.93,2,0.16
SME-00028,Company 28,Retail,2019-07-05,6,89A7 2BC,174276.58,3,0.18
SME-00029,Company 29,Retail,2018-09-08,16,50C4 2EA,13718.13,22,0.18
SME-00030,Company 30,Technology,2013-11-03,75,30C9 7DC,1881.44,3,0.12
SME-00031,Company 31,Construction,2017-09-13,28,82A4 2CE,4484.26,5,0.16
SME-00032,Company 32,Retail,2017-05-16,32,32E5 3EE,42013.17,6,0.18
