company_id,review_date,rating
SME-00001,2022-02-03,4
SME-00001,2023-03-19,2
SME-00001,2023-03-22,4
SME-00001,2022-11-10,3
SME-00001,2022-11-14,3
SME-00001,2023-06-11,4
SME-00001,2022-04-20,2
SME-00003,2023-06-13,4
SME-00003,2022-05-29,3
SME-00003,2022-06-13,3
SME-00003,2022-08-16,3
SME-00003,2022-09-20,3
SME-00003,2022-12-25,3
SME-00003,2022-09-18,3
SME-00003,2022-05-31,3
SME-00003,2023-04-10,4
SME-00003,2022-01-15,3
SME-00003,2022-12-08,3
SME-00004,2022-08-19,1
SME-00004,2022-09-24,3
SME-00004,2023-02-16,3
SME-00004,2022-05-26,2
SME-00004,2023-03-25,3
SME-00004,2023-03-01,3
SME-00004,2022-10-30,3
SME-00004,2022-12-25,2
SME-00005,2022-01-31,4
SME-00005,2022-03-16,4
SME-00005,2023-03-17,3
SME-00005,2022-02-12,4
SME-00005,2022-03-03,3
SME-00005,2022-02-22,4
SME-00005,2023-02-12,3
SME-00005,2022-11-20,3
SME-00010,2023-05-16,3
SME-00010,2022-04-05,4
SME-00010,2022-01-13,2
SME-00010,2022-12-21,2
SME-00010,2022-02-21,3
SME-00010,2022-01-18,3
SME-00010,2022-11-26,3
SME-00010,2023-05-14,5
SME-00011,2023-05-18,4
SME-00011,2022-10-10,3
SME-00011,2022-06-14,3
SME-00011,2022-11-23,4
SME-00011,2023-05-20,2
SME-00011,2022-07-18,3
SME-00011,2022-08-12,3
SME-00011,2022-04-24,3
SME-00011,2022-07-26,2
SME-00011,2023-03-02,2
SME-00011,2023-02-27,3
SME-00011,2023-03-02,4
SME-00012,2022-04-13,2
SME-00012,2022-03-17,4
SME-00012,2022-04-04,4
SME-00012,2023-06-06,3
SME-00012,2022-01-23,2
SME-00012,2022-12-12,3
SME-00012,2023-03-12,3
SME-00013,2023-05-06,4
SME-00013,2022-04-19,4
SME-00013,2022-05-07,3
SME-00013,2022-11-03,4
SME-00015,2022-12-29,4
SME-00015,2023-03-22,5
SME-00015,2023-01-05,5
SME-00015,2022-02-05,3
SME-00015,2022-01-20,5
SME-00015,2023-03-15,3
SME-00016,2023-03-22,4
SME-00016,2022-09-25,3
SME-00016,2022-10-04,3
SME-00016,2022-03-28,3
SME-00016,2022-06-19,3
SME-00016,2022-05-16,3
SME-00016,2023-01-06,3
SME-00017,2022-11-27,3
SME-00017,2022-04-25,4
SME-00017,2022-01-26,2
SME-00017,2022-12-12,3
SME-00017,2023-02-09,3
SME-00017,2022-07-14,3
SME-00017,2023-01-25,4
SME-00017,2023-02-10,3
SME-00018,2023-03-05,4
SME-00018,2022-07-30,5
SME-00018,2022-12-14,4
SME-00018,2022-04-28,2
SME-00018,2022-05-17,3
SME-00018,2022-04-10,4
SME-00018,2023-02-08,2
SME-00018,2022-12-26,3
SME-00020,2022-07-05,3
SME-00020,2022-10-16,3
SME-00020,2023-01-31,2
SME-00020,2023-02-28,3
SME-00020,2023-04-02,4
SME-00020,2022-04-12,3
SME-00020,2022-01-05,2
